persona_id,age,gender,city,state,education,occupation,income_inr,language,marital_status,children,lifestyle,shopping_frequency,online_shopping_pct,offline_shopping_pct,payment_method,vehicle,technology_adoption,health_consciousness,food_preference,political_interest,social_media_usage,brand_loyalty,price_sensitivity,risk_taking,impulse_buying,discount_preference,premium_preference,preferred_brand,communication_style,response_length,openness,conscientiousness,extraversion,agreeableness,neuroticism,confidence,optimism,patience,curiosity,practicality,emotional_score
P00016,58,Female,Indore,Madhya Pradesh,B.Com,Freelancer,2722000,Hindi,Married,1,Minimalist,Weekly,28,72,Cash,None,Mainstream,54,Non-Vegetarian,High,90,50,64,52,32,19,84,Apple,Direct,Medium,29,23,90,67,60,7,72,32,16,59,18
P00017,47,Female,Patna,Bihar,MCA,Government Employee,4315000,"Hindi, English, Telugu",Married,3,Balanced,Monthly,30,70,Debit Card,Bike,Late Adopter,36,Vegan,High,31,36,57,10,92,37,31,Boat,Professional,Medium,70,11,18,20,30,50,89,20,91,28,9
P00018,44,Female,Jaipur,Rajasthan,MBBS,Business Owner,3586000,"Hindi, English, Tamil",Married,3,Luxury,Weekly,59,41,Net Banking,Both,Mainstream,1,Eggetarian,Medium,97,50,54,69,96,95,70,Tata,Friendly,Medium,29,35,56,63,4,50,44,86,87,52,93
P00019,28,Female,Kochi,Kerala,B.Tech,Government Employee,4555000,"Hindi, English, Marathi",Single,0,Luxury,Occasionally,13,87,UPI,None,Late Adopter,55,Non-Vegetarian,Medium,24,7,34,49,42,28,59,Puma,Professional,Medium,36,97,54,33,11,61,3,96,70,7,45
P00020,32,Male,Patna,Bihar,High School,Marketing Manager,434000,Hindi,Single,0,Luxury,Weekly,35,65,Credit Card,Bike,Mainstream,86,Vegetarian,High,28,60,90,33,99,48,22,Tata,Direct,Short,40,14,75,4,40,74,87,49,51,92,26
P00021,22,Male,Indore,Madhya Pradesh,B.Sc,Accountant,1171000,Hindi,Single,0,Balanced,Occasionally,82,18,Cash,Car,Early Adopter,65,Eggetarian,Low,54,63,14,56,47,82,59,Nike,Concise,Short,94,67,84,35,79,69,100,62,60,56,94
P00022,55,Female,Jaipur,Rajasthan,B.Com,Accountant,889000,"Hindi, English, Marathi",Married,3,Luxury,Occasionally,41,59,Cash,Car,Early Adopter,64,Eggetarian,Low,63,28,46,34,44,36,77,Boat,Direct,Long,25,11,31,93,53,63,72,98,31,89,61
P00023,59,Female,Ahmedabad,Gujarat,High School,Software Engineer,2590000,"Hindi, English, Telugu",Married,1,Luxury,Monthly,49,51,Cash,Car,Mainstream,96,Eggetarian,Medium,90,59,35,40,33,30,16,Adidas,Professional,Short,96,69,98,89,24,25,28,95,62,36,93
P00024,55,Female,Indore,Madhya Pradesh,B.Com,Lawyer,2043000,"Hindi, English, Telugu",Married,2,Luxury,Weekly,11,89,Debit Card,None,Early Adopter,71,Eggetarian,High,17,82,97,63,14,2,74,Boat,Concise,Medium,57,44,24,7,33,62,15,9,52,63,10
P00025,54,Male,Delhi,Delhi,B.Tech,Marketing Manager,4790000,English,Single,0,Minimalist,Occasionally,20,80,Cash,Bike,Late Adopter,49,Vegan,Medium,39,76,55,40,73,80,8,Tata,Direct,Short,81,28,34,85,11,21,31,23,71,10,21
P00026,18,Female,Ahmedabad,Gujarat,PhD,Business Owner,2565000,English,Single,0,Balanced,Occasionally,14,86,Debit Card,Both,Early Adopter,88,Non-Vegetarian,Medium,81,76,85,26,55,15,70,Adidas,Friendly,Medium,19,10,8,22,40,77,96,73,37,57,16
P00027,47,Female,Kolkata,West Bengal,M.Tech,Lawyer,4279000,"Hindi, English, Tamil",Married,3,Minimalist,Monthly,20,80,Debit Card,Car,Early Adopter,12,Non-Vegetarian,High,74,76,3,98,87,35,74,Apple,Friendly,Medium,67,84,57,36,24,75,56,82,63,12,61
P00028,40,Female,Jaipur,Rajasthan,MBA,Freelancer,1036000,"Hindi, English, Marathi",Single,0,Luxury,Monthly,52,48,Debit Card,Both,Late Adopter,5,Vegan,Low,41,33,42,15,99,52,66,Apple,Concise,Medium,7,25,67,47,80,97,64,81,57,98,7
P00029,31,Female,Bengaluru,Karnataka,B.Tech,Nurse,2539000,Hindi,Married,3,Luxury,Occasionally,25,75,Credit Card,Bike,Mainstream,71,Vegetarian,High,53,12,29,15,60,16,83,Nike,Concise,Long,38,66,91,35,54,62,61,32,59,71,19
P00030,42,Male,Kochi,Kerala,PhD,Farmer,1298000,"Hindi, English, Marathi",Single,0,Balanced,Occasionally,45,55,Debit Card,None,Mainstream,93,Eggetarian,High,75,85,63,20,58,69,62,Puma,Professional,Long,98,70,49,59,42,25,90,31,74,50,30
P00031,44,Male,Jaipur,Rajasthan,MCA,Content Creator,3303000,Hindi,Married,1,Minimalist,Occasionally,73,27,Net Banking,Car,Early Adopter,57,Vegetarian,High,59,2,93,19,53,84,20,Samsung,Concise,Medium,44,80,89,51,84,11,43,87,69,49,41
P00032,58,Female,Chandigarh,Chandigarh,MBBS,Student,740000,"Hindi, English, Telugu",Married,2,Minimalist,Monthly,39,61,UPI,None,Mainstream,22,Eggetarian,Low,6,42,8,38,46,48,56,Nike,Friendly,Long,53,73,88,24,22,23,11,79,49,80,88
P00033,33,Female,Kochi,Kerala,PhD,Teacher,2082000,"Hindi, English",Married,2,Luxury,Weekly,68,32,Cash,Car,Late Adopter,70,Non-Vegetarian,Low,57,45,76,39,82,55,89,Boat,Concise,Medium,26,50,62,14,31,49,74,46,74,38,90
P00034,36,Male,Chandigarh,Chandigarh,M.Tech,Lawyer,246000,"Hindi, English, Tamil",Single,0,Luxury,Monthly,16,84,Debit Card,Bike,Late Adopter,46,Non-Vegetarian,High,25,80,33,87,97,93,99,Nike,Direct,Long,83,6,40,57,5,75,47,94,17,12,38
P00035,38,Female,Delhi,Delhi,B.Com,Teacher,4598000,"Hindi, English, Tamil",Single,0,Luxury,Monthly,56,44,Credit Card,Car,Mainstream,38,Eggetarian,Low,60,10,19,97,29,87,93,Sony,Professional,Short,51,2,34,69,16,59,48,87,96,87,34
P00036,55,Female,Chandigarh,Chandigarh,MBA,Software Engineer,2095000,English,Married,2,Luxury,Weekly,88,12,Cash,Car,Late Adopter,53,Vegetarian,Low,6,5,39,64,15,13,31,Titan,Friendly,Medium,59,48,86,96,90,70,54,76,96,94,20
P00037,44,Male,Chandigarh,Chandigarh,MCA,Government Employee,3523000,Hindi,Single,0,Luxury,Monthly,45,55,Credit Card,Both,Mainstream,31,Eggetarian,Low,88,48,70,83,46,8,51,Boat,Friendly,Short,59,12,85,28,83,82,77,3,7,43,32
P00038,26,Male,Indore,Madhya Pradesh,MBBS,Doctor,4983000,English,Single,0,Balanced,Weekly,37,63,Net Banking,None,Mainstream,19,Non-Vegetarian,High,33,23,15,85,4,17,2,Puma,Friendly,Long,42,3,23,34,7,17,95,54,68,15,96
P00039,22,Female,Ahmedabad,Gujarat,MBA,Farmer,1073000,"Hindi, English, Tamil",Single,0,Minimalist,Occasionally,67,33,UPI,Car,Mainstream,83,Vegetarian,Low,62,52,55,88,14,63,92,Levi's,Direct,Short,42,78,19,9,17,36,80,82,75,71,92
P00040,38,Female,Hyderabad,Telangana,MBBS,Lawyer,3896000,"Hindi, English, Telugu",Married,3,Minimalist,Occasionally,22,78,Net Banking,Bike,Mainstream,58,Non-Vegetarian,Medium,44,59,52,54,94,13,41,Sony,Professional,Long,33,48,20,88,61,9,12,11,12,56,13
P00041,65,Female,Patna,Bihar,B.Tech,Farmer,671000,"Hindi, English, Tamil",Single,0,Balanced,Occasionally,81,19,UPI,Both,Mainstream,86,Vegan,High,7,37,77,40,46,14,74,Titan,Friendly,Short,85,62,29,14,45,72,48,15,98,36,74
P00042,32,Female,Chandigarh,Chandigarh,MBBS,Marketing Manager,4740000,English,Married,2,Balanced,Occasionally,13,87,Debit Card,Car,Mainstream,1,Non-Vegetarian,Low,73,85,52,9,19,95,82,Apple,Direct,Long,68,28,49,54,59,44,21,48,40,93,42
P00043,54,Male,Kochi,Kerala,High School,Teacher,1469000,"Hindi, English, Telugu",Single,0,Minimalist,Monthly,16,84,Cash,Both,Mainstream,78,Vegan,Medium,35,28,97,66,15,45,56,Samsung,Professional,Long,87,76,63,68,86,40,6,29,51,77,8
P00044,18,Male,Pune,Maharashtra,B.Com,Marketing Manager,1304000,"Hindi, English",Single,0,Balanced,Weekly,42,58,UPI,Both,Late Adopter,56,Non-Vegetarian,Low,49,69,91,30,65,72,86,Puma,Direct,Medium,95,6,56,3,59,10,41,74,55,74,52
P00045,63,Female,Pune,Maharashtra,Diploma,Sales Executive,350000,"Hindi, English, Tamil",Single,0,Balanced,Occasionally,31,69,Debit Card,None,Mainstream,14,Non-Vegetarian,Medium,76,52,68,11,51,40,96,Puma,Friendly,Medium,100,22,10,66,82,15,68,66,25,100,45
P00046,40,Male,Mumbai,Maharashtra,Diploma,Teacher,2276000,Hindi,Married,1,Minimalist,Occasionally,93,7,Cash,Both,Late Adopter,98,Vegan,High,73,83,82,80,42,81,41,Nike,Concise,Short,61,57,81,39,36,76,8,46,65,10,40
P00047,47,Female,Bhopal,Madhya Pradesh,High School,Designer,2531000,"Hindi, English, Tamil",Married,0,Luxury,Monthly,88,12,Cash,None,Mainstream,74,Non-Vegetarian,Medium,78,61,65,20,8,58,14,Puma,Direct,Long,83,23,6,32,91,57,57,68,67,79,21
P00048,41,Female,Kochi,Kerala,B.Sc,Sales Executive,3528000,Hindi,Single,0,Luxury,Occasionally,86,14,Debit Card,None,Mainstream,13,Vegan,Medium,33,93,85,78,20,43,11,Tata,Friendly,Medium,40,84,90,85,51,17,77,91,11,40,72
P00049,42,Female,Chandigarh,Chandigarh,B.Tech,Freelancer,4492000,"Hindi, English",Married,3,Minimalist,Monthly,75,25,Debit Card,Bike,Early Adopter,44,Vegan,Low,29,18,20,10,38,13,65,Titan,Direct,Long,44,99,80,17,77,49,20,21,24,89,99
P00050,57,Male,Kolkata,West Bengal,MCA,Student,3545000,"Hindi, English, Tamil",Married,1,Balanced,Occasionally,66,34,Cash,Bike,Late Adopter,31,Eggetarian,Medium,25,48,87,74,57,60,99,Boat,Concise,Long,68,54,21,26,78,18,33,7,83,62,48
P00051,53,Male,Kolkata,West Bengal,MBBS,Accountant,1201000,"Hindi, English, Marathi",Married,1,Luxury,Weekly,44,56,Cash,None,Early Adopter,58,Eggetarian,Low,54,7,51,65,48,31,50,Samsung,Professional,Short,4,41,13,92,84,43,19,18,5,37,61
P00052,62,Male,Patna,Bihar,MCA,Business Owner,223000,"Hindi, English",Single,0,Minimalist,Weekly,12,88,Net Banking,Both,Early Adopter,100,Eggetarian,Low,39,16,7,31,54,82,80,Levi's,Direct,Short,64,77,69,3,81,66,74,31,92,19,38
P00053,45,Male,Hyderabad,Telangana,MBA,Doctor,4854000,"Hindi, English",Married,0,Minimalist,Occasionally,77,23,Net Banking,None,Mainstream,61,Vegetarian,High,50,48,33,96,3,46,9,Puma,Friendly,Long,85,81,14,99,75,95,97,43,18,6,46
P00054,52,Female,Chandigarh,Chandigarh,B.Tech,Accountant,3986000,"Hindi, English, Telugu",Single,0,Minimalist,Weekly,71,29,UPI,Both,Early Adopter,38,Non-Vegetarian,Low,26,6,41,40,66,51,70,Levi's,Professional,Short,97,83,25,37,46,100,7,84,43,35,16
P00055,41,Female,Kochi,Kerala,M.Tech,Content Creator,3782000,"Hindi, English",Single,0,Minimalist,Monthly,59,41,Cash,Car,Late Adopter,35,Vegetarian,High,55,11,56,78,24,70,38,Puma,Direct,Short,42,85,38,40,58,78,92,55,22,89,57
P00056,40,Female,Bhopal,Madhya Pradesh,MBA,Government Employee,3743000,"Hindi, English, Telugu",Married,0,Luxury,Monthly,19,81,Debit Card,Bike,Early Adopter,19,Vegan,Low,17,9,31,100,83,47,47,Sony,Direct,Long,20,87,58,48,48,57,98,10,74,18,68
P00057,41,Female,Jaipur,Rajasthan,B.Sc,Doctor,1109000,"Hindi, English, Tamil",Married,1,Balanced,Occasionally,73,27,UPI,Car,Mainstream,91,Vegan,Low,79,37,89,63,26,16,18,Samsung,Concise,Short,92,57,12,88,41,86,45,91,9,71,70
P00058,36,Female,Chandigarh,Chandigarh,B.Tech,Content Creator,1606000,English,Single,0,Minimalist,Weekly,75,25,Credit Card,Bike,Mainstream,4,Eggetarian,High,74,48,60,71,17,79,12,Samsung,Professional,Medium,92,93,62,68,53,99,53,74,10,17,41
P00059,59,Male,Ahmedabad,Gujarat,MCA,Freelancer,4418000,"Hindi, English, Marathi",Married,1,Luxury,Weekly,26,74,UPI,Bike,Mainstream,22,Non-Vegetarian,Medium,91,29,45,67,37,11,33,Adidas,Professional,Short,81,39,79,69,12,65,83,22,76,75,20
P00060,28,Female,Chandigarh,Chandigarh,PhD,Student,412000,Hindi,Single,0,Luxury,Occasionally,20,80,Debit Card,Bike,Late Adopter,54,Vegetarian,Medium,81,70,38,83,39,62,32,Sony,Professional,Medium,10,89,8,21,57,54,62,60,27,44,78
P00061,27,Female,Chandigarh,Chandigarh,MBA,Content Creator,3009000,English,Single,0,Balanced,Occasionally,61,39,Net Banking,None,Mainstream,31,Vegan,Low,35,58,32,19,13,7,38,Sony,Concise,Short,21,42,74,93,41,25,98,21,64,66,60
P00062,49,Female,Ahmedabad,Gujarat,High School,Software Engineer,3401000,"Hindi, English, Tamil",Married,1,Balanced,Weekly,37,63,UPI,Car,Mainstream,77,Vegan,Medium,69,2,14,56,18,34,94,Puma,Concise,Medium,6,52,7,73,72,25,47,71,37,10,50
P00063,50,Female,Patna,Bihar,MBBS,Lawyer,1153000,"Hindi, English",Married,0,Balanced,Occasionally,60,40,Debit Card,Bike,Early Adopter,78,Vegan,High,6,6,5,18,92,43,61,Titan,Concise,Short,78,66,18,42,79,41,21,51,79,95,39
P00064,55,Female,Bengaluru,Karnataka,MBBS,Farmer,4192000,"Hindi, English, Marathi",Single,0,Minimalist,Monthly,48,52,Debit Card,None,Mainstream,75,Eggetarian,High,89,81,4,77,61,34,84,Tata,Friendly,Long,7,75,62,22,68,81,93,80,100,49,19
P00065,61,Male,Bhopal,Madhya Pradesh,PhD,Content Creator,1080000,"Hindi, English, Marathi",Married,3,Minimalist,Monthly,50,50,Credit Card,Both,Late Adopter,100,Vegan,High,94,8,91,18,67,27,72,Puma,Concise,Long,49,41,23,59,69,44,70,46,87,99,93
P00066,61,Female,Hyderabad,Telangana,MCA,Doctor,2199000,"Hindi, English",Married,2,Balanced,Occasionally,38,62,Credit Card,Both,Mainstream,62,Eggetarian,High,93,36,37,16,74,87,70,Sony,Concise,Medium,99,19,38,6,37,92,11,45,57,84,33
P00067,65,Female,Mumbai,Maharashtra,B.Com,Accountant,4592000,Hindi,Married,2,Luxury,Occasionally,27,73,Net Banking,Bike,Early Adopter,7,Non-Vegetarian,High,30,7,13,53,43,92,61,Samsung,Friendly,Short,71,21,53,84,61,62,84,26,97,37,42
P00068,36,Male,Kochi,Kerala,Diploma,Freelancer,4883000,"Hindi, English, Marathi",Married,0,Minimalist,Weekly,32,68,Cash,Both,Early Adopter,96,Eggetarian,Low,2,39,73,78,14,43,37,Levi's,Concise,Short,65,60,35,25,15,43,21,94,59,83,33
P00069,63,Male,Bhopal,Madhya Pradesh,MBA,Marketing Manager,2596000,English,Single,0,Luxury,Occasionally,34,66,Cash,Both,Late Adopter,42,Vegetarian,Medium,86,13,24,18,62,42,32,Apple,Professional,Medium,31,58,97,35,43,39,75,93,74,2,34
P00070,59,Female,Kolkata,West Bengal,B.Com,Student,1148000,"Hindi, English, Telugu",Married,1,Luxury,Occasionally,61,39,Debit Card,None,Late Adopter,38,Eggetarian,High,29,29,18,62,20,59,96,Tata,Professional,Medium,90,71,61,97,69,86,28,98,32,88,97
P00071,56,Male,Bengaluru,Karnataka,MCA,Farmer,3143000,"Hindi, English, Tamil",Married,0,Luxury,Weekly,17,83,Net Banking,Bike,Early Adopter,42,Vegan,Low,88,27,92,75,63,12,66,Levi's,Direct,Medium,17,66,54,59,73,8,72,60,87,40,93
P00072,19,Female,Pune,Maharashtra,High School,Content Creator,1965000,Hindi,Single,0,Minimalist,Monthly,84,16,Debit Card,None,Late Adopter,8,Vegetarian,Medium,5,37,53,24,99,18,99,Sony,Professional,Medium,58,49,49,11,88,85,70,18,84,45,16
P00073,29,Female,Bengaluru,Karnataka,B.Tech,Content Creator,2004000,"Hindi, English",Single,0,Balanced,Occasionally,12,88,Net Banking,Both,Late Adopter,49,Non-Vegetarian,Low,59,45,20,36,25,93,98,Samsung,Direct,Long,54,79,99,3,31,27,9,13,77,5,58
P00074,56,Male,Mumbai,Maharashtra,High School,Sales Executive,3775000,English,Married,1,Luxury,Monthly,17,83,Credit Card,Car,Late Adopter,77,Eggetarian,Low,39,19,85,67,29,53,39,Boat,Direct,Long,76,95,23,81,87,55,72,64,7,45,83
P00075,60,Female,Patna,Bihar,MBBS,Designer,3590000,English,Married,2,Luxury,Monthly,58,42,Credit Card,Bike,Mainstream,91,Non-Vegetarian,Medium,8,72,53,54,72,68,18,Sony,Friendly,Medium,27,43,83,11,58,48,12,69,93,25,7
P00076,35,Female,Chennai,Tamil Nadu,PhD,Government Employee,503000,"Hindi, English, Tamil",Single,0,Luxury,Occasionally,34,66,Net Banking,Bike,Mainstream,27,Eggetarian,Medium,2,28,25,95,16,96,97,Levi's,Friendly,Long,78,91,27,51,31,71,42,100,37,49,60
P00077,52,Female,Pune,Maharashtra,B.Sc,Designer,4380000,Hindi,Single,0,Luxury,Monthly,69,31,Debit Card,Bike,Mainstream,41,Vegan,Low,73,29,95,19,3,34,71,Tata,Concise,Medium,20,26,43,30,49,73,32,64,71,84,88
P00078,39,Female,Patna,Bihar,MCA,Content Creator,4198000,English,Married,2,Luxury,Occasionally,31,69,Cash,Bike,Late Adopter,83,Vegetarian,High,5,10,86,7,98,1,53,Nike,Friendly,Short,91,20,2,28,65,59,48,8,80,82,86
P00079,57,Female,Chennai,Tamil Nadu,MCA,Student,234000,Hindi,Married,3,Luxury,Occasionally,11,89,Debit Card,Car,Early Adopter,65,Vegan,Low,14,13,68,20,31,25,80,Titan,Professional,Medium,35,51,11,48,52,59,73,32,90,29,39
P00080,61,Male,Chennai,Tamil Nadu,High School,Software Engineer,3500000,"Hindi, English, Telugu",Married,3,Minimalist,Occasionally,17,83,Credit Card,None,Mainstream,56,Eggetarian,High,13,68,6,30,28,89,73,Levi's,Professional,Short,10,88,36,70,73,85,5,23,41,3,27
P00081,55,Male,Patna,Bihar,M.Tech,Nurse,810000,"Hindi, English, Marathi",Married,1,Luxury,Occasionally,82,18,Debit Card,Both,Late Adopter,18,Vegetarian,High,96,45,7,13,56,30,10,Puma,Concise,Medium,4,82,35,58,63,30,46,71,49,56,24
P00082,61,Female,Indore,Madhya Pradesh,PhD,Lawyer,2198000,"Hindi, English",Single,0,Minimalist,Monthly,20,80,Credit Card,Both,Mainstream,47,Vegetarian,Low,1,40,57,47,98,35,14,Nike,Direct,Short,56,58,72,72,66,53,14,4,12,46,71
P00083,23,Female,Chandigarh,Chandigarh,M.Tech,Student,2570000,"Hindi, English, Marathi",Single,0,Minimalist,Occasionally,62,38,Net Banking,Bike,Late Adopter,67,Non-Vegetarian,High,49,22,18,35,39,35,64,Nike,Direct,Short,56,36,54,39,62,10,47,33,32,93,81
P00084,49,Male,Ahmedabad,Gujarat,Diploma,Teacher,2675000,"Hindi, English, Tamil",Married,3,Balanced,Monthly,52,48,Cash,Car,Mainstream,84,Non-Vegetarian,Medium,42,78,89,26,62,41,23,Sony,Professional,Medium,95,89,82,63,74,32,42,49,36,51,47
P00085,25,Male,Hyderabad,Telangana,MBBS,Teacher,4686000,"Hindi, English, Telugu",Single,0,Balanced,Occasionally,13,87,Credit Card,Both,Mainstream,89,Vegetarian,Medium,87,64,18,82,39,31,33,Nike,Concise,Medium,10,58,77,62,75,52,69,65,89,54,70
P00086,20,Female,Kolkata,West Bengal,MBBS,Government Employee,876000,English,Single,0,Luxury,Occasionally,23,77,Debit Card,Bike,Late Adopter,79,Vegetarian,High,83,87,83,52,97,43,56,Samsung,Direct,Short,34,29,66,96,67,72,75,89,74,29,58
P00087,41,Female,Ahmedabad,Gujarat,PhD,Content Creator,4279000,Hindi,Married,0,Balanced,Monthly,71,29,UPI,None,Late Adopter,19,Eggetarian,Medium,44,59,27,67,62,45,61,Samsung,Concise,Long,90,58,41,9,39,6,91,15,3,44,83
P00088,24,Male,Kochi,Kerala,B.Com,Farmer,1609000,English,Single,0,Balanced,Occasionally,80,20,Cash,Both,Early Adopter,52,Non-Vegetarian,Low,82,85,56,51,4,95,79,Adidas,Concise,Long,55,50,1,91,28,27,36,97,91,9,74
P00089,24,Male,Jaipur,Rajasthan,MBA,Doctor,3928000,"Hindi, English",Single,0,Luxury,Monthly,24,76,Net Banking,Car,Late Adopter,50,Vegan,High,15,45,46,59,80,23,87,Boat,Direct,Long,18,41,16,31,40,15,24,48,89,19,66
P00090,42,Female,Hyderabad,Telangana,B.Tech,Government Employee,3323000,"Hindi, English, Tamil",Married,3,Luxury,Occasionally,91,9,Credit Card,Bike,Mainstream,37,Non-Vegetarian,Low,41,58,80,7,46,2,63,Nike,Friendly,Medium,72,65,84,64,53,88,63,54,91,57,63
P00091,28,Male,Hyderabad,Telangana,High School,Marketing Manager,1986000,Hindi,Single,0,Balanced,Weekly,47,53,Net Banking,Car,Early Adopter,100,Vegan,High,96,99,99,64,71,66,15,Tata,Direct,Medium,100,70,47,70,97,6,98,93,57,70,28
P00092,45,Male,Kolkata,West Bengal,B.Com,Lawyer,444000,"Hindi, English, Marathi",Married,2,Minimalist,Weekly,21,79,Credit Card,Car,Late Adopter,79,Vegan,Low,79,18,27,27,8,73,45,Titan,Professional,Long,69,22,42,91,38,38,74,35,66,87,13
P00093,26,Female,Kochi,Kerala,High School,Lawyer,1219000,English,Single,0,Minimalist,Occasionally,26,74,Debit Card,Bike,Late Adopter,51,Vegan,Low,74,81,35,81,54,49,58,Samsung,Direct,Medium,66,96,36,89,48,59,63,42,75,1,100
P00094,64,Male,Kolkata,West Bengal,MCA,Freelancer,3114000,"Hindi, English, Marathi",Single,0,Minimalist,Monthly,78,22,Credit Card,Both,Mainstream,42,Eggetarian,Medium,71,74,17,73,63,44,88,Apple,Direct,Short,81,59,3,16,21,57,59,1,55,26,89
P00095,26,Female,Delhi,Delhi,B.Sc,Software Engineer,3132000,Hindi,Single,0,Balanced,Occasionally,42,58,Credit Card,None,Mainstream,81,Eggetarian,High,90,97,30,55,84,12,91,Samsung,Direct,Short,62,10,17,76,29,67,88,57,2,2,90
P00096,39,Male,Chandigarh,Chandigarh,M.Tech,Content Creator,1262000,Hindi,Married,1,Luxury,Weekly,59,41,UPI,Car,Mainstream,39,Non-Vegetarian,Medium,100,97,18,83,87,19,9,Titan,Direct,Long,84,22,57,45,93,28,81,96,20,53,79
P00097,61,Female,Chandigarh,Chandigarh,B.Com,Software Engineer,1003000,"Hindi, English, Telugu",Married,0,Balanced,Monthly,85,15,Cash,Car,Early Adopter,32,Eggetarian,High,11,32,71,77,77,93,78,Boat,Direct,Long,39,27,67,78,66,25,96,51,38,83,7
